participant,condition,learningtype,item,itemgroup,verbtype,known,input,testmoment,bin_score,frequency,cognate,vowellength,vowelchange,structure,syllables,verbclass,lextale,age,gender,L11,L12,bilingualism,usage,proficiency_overall,proficiency_oral,proficiency_written,comprehension_oral,comprehension_written,proficiency_average,L21,L22,L23,L2s_amount
pp01,IMP,incidental,rauchen,CONTR_B,control,ACT,no,T1,0,186,yes,diphtong,none,S-V-OA-PP,2,weak,66.25,27,v,NL-NL,none,monolingual,2,4,4,4,5,5,4.25,english,french,spanish,3
pp01,IMP,incidental,retten,CONTR_B,control,PASS,no,T1,1,427,yes,short,none,S-V-OA-PP,2,weak,66.25,27,v,NL-NL,none,monolingual,2,4,4,4,5,5,4.25,english,french,spanish,3
pp01,IMP,incidental,stehen,CONTR_B,control,ACT,no,T1,1,6771,yes,long,none,ITR,2,irregular,66.25,27,v,NL-NL,none,monolingual,2,4,4,4,5,5,4.25,english,french,spanish,3
pp01,IMP,incidental,warten,CONTR_B,control,ACT,no,T1,1,989,yes,short,none,ITR,2,weak,66.25,27,v,NL-NL,none,monolingual,2,4,4,4,5,5,4.25,english,french,spanish,3
pp01,IMP,incidental,empfangen,CRIT_A,critical,ACT,yes,T1,0,450,doubt,short,a-ae,S-V-OA-PP,3,strong,66.25,27,v,NL-NL,none,monolingual,2,4,4,4,5,5,4.25,english,french,spanish,3
pp01,IMP,incidental,fahren,CRIT_A,critical,ACT,yes,T1,0,2884,no,long,a-ae,ITR,2,strong,66.25,27,v,NL-NL,none,monolingual,2,4,4,4,5,5,4.25,english,french,spanish,3
pp01,IMP,incidental,fangen,CRIT_A,critical,ACT,yes,T1,1,427,yes,short,a-ae,S-V-OA-PP,2,strong,66.25,27,v,NL-NL,none,monolingual,2,4,4,4,5,5,4.25,english,french,spanish,3
pp01,IMP,incidental,fressen,CRIT_A,critical,PASS,yes,T1,0,100,yes,short,e-i,S-V-OA-PP,2,strong,66.25,27,v,NL-NL,none,monolingual,2,4,4,4,5,5,4.25,english,french,spanish,3
pp01,IMP,incidental,geben,CRIT_A,critical,ACT,yes,T1,1,10290,yes,long,e-i,S-V-OD-OA,2,strong,66.25,27,v,NL-NL,none,monolingual,2,4,4,4,5,5,4.25,english,french,spanish,3
pp01,IMP,incidental,laden,CRIT_A,critical,PASS,yes,T1,0,269,yes,long,a-ae,S-V-OA-PP,2,strong,66.25,27,v,NL-NL,none,monolingual,2,4,4,4,5,5,4.25,english,french,spanish,3
